# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "genes.gtf" "-p" "--countReadPairs" "-o" "feature-count/counts.txt" "-T" "2" "-t" "exon" "-g" "gene_id" "bam-files/read_output.bam" "bam-files/read_output2.bam" "bam-files/read_output3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam-files/read_output.bam	bam-files/read_output2.bam	bam-files/read_output3.bam
YIL152W	chrIX	56545	57252	+	708	0	0	0
YIL151C	chrIX	57338	60694	-	3357	0	0	0
YIL150C	chrIX	61013	62728	-	1716	0	0	0
YIL149C	chrIX	63028	68067	-	5040	0	0	0
YIL148W	chrIX;chrIX	68708;69150	68715;69528	+;+	387	0	0	0
YIL147C	chrIX	69791	73453	-	3663	0	0	0
YIL146C	chrIX	74184	75773	-	1590	0	0	0
YIL145C	chrIX	76354	77283	-	930	0	0	0
YIL144W	chrIX	78074	80149	+	2076	0	0	0
YIL143C	chrIX	80510	83041	-	2532	0	0	0
YIL142C-A	chrIX	83208	83540	-	333	0	0	0
YIL142W	chrIX	83302	84885	+	1584	0	0	0
YIL141W	chrIX	85053	85442	+	390	0	0	0
YIL140W	chrIX	85366	87837	+	2472	0	0	0
YIL139C	chrIX	87979	88716	-	738	0	0	0
YIL138C	chrIX	89230	89715	-	486	0	0	0
YIL137C	chrIX	89948	92788	-	2841	0	0	0
YIL136W	chrIX	93619	94800	+	1182	0	0	0
YIL135C	chrIX	95065	96375	-	1311	0	0	0
YIL134C-A	chrIX	96522	96725	-	204	0	0	0
snR68	chrIX	97111	97246	+	136	0	0	0
YIL134W	chrIX	97395	98330	+	936	0	0	0
YIL133C	chrIX;chrIX	98527;99386	99095;99416	-;-	600	0	0	0
YIL132C	chrIX	99860	100501	-	642	0	0	0
YIL131C	chrIX	100781	102235	-	1455	0	0	0
YIL130W	chrIX	102782	105676	+	2895	0	0	0
YIL129C	chrIX	106107	113237	-	7131	0	0	0
YIL128W	chrIX	113806	116904	+	3099	0	0	0
YIL127C	chrIX	117024	117644	-	621	0	0	0
YIL126W	chrIX	117992	122071	+	4080	0	0	0
YIL125W	chrIX	122689	125733	+	3045	0	0	0
YIL124W	chrIX	126204	127097	+	894	0	0	0
YIL123W	chrIX	128151	129578	+	1428	0	0	0
YIL122W	chrIX	130607	131662	+	1056	0	0	0
YIL121W	chrIX	132241	133869	+	1629	0	0	0
YIL120W	chrIX	134414	136105	+	1692	0	0	0
YIL119C	chrIX	136651	137874	-	1224	0	0	0
YIL118W	chrIX	139749	140444	+	696	0	0	0
YIL117C	chrIX	140610	141566	-	957	0	0	0
YIL116W	chrIX	142925	144082	+	1158	0	0	0
YIL115W-A	chrIX	144265	144636	+	372	0	0	0
YIL115C	chrIX	144324	148706	-	4383	0	0	0
YIL114C	chrIX	149140	149985	-	846	0	0	0
YIL113W	chrIX	150556	151185	+	630	0	0	0
YIL112W	chrIX	151592	154843	+	3252	0	0	0
YIL111W	chrIX;chrIX	155219;155308	155219;155762	+;+	456	0	0	0
YIL110W	chrIX	156042	157175	+	1134	0	0	0
YIL109C	chrIX	157382	160162	-	2781	0	0	0
YIL108W	chrIX	160884	162974	+	2091	0	0	0
YIL107C	chrIX	163275	165758	-	2484	0	0	0
YIL106W	chrIX;chrIX	166412;166517	166431;167441	+;+	945	0	0	0
YIL105C	chrIX	167578	169638	-	2061	0	0	0
YIL105W-A	chrIX	167661	167801	+	141	0	0	0
YIL104C	chrIX	169979	171502	-	1524	0	0	0
YIL103W	chrIX	171748	173025	+	1278	0	0	0
YIL102C-A	chrIX	173362	173589	-	228	0	0	0
YIL102C	chrIX	174579	174884	-	306	0	0	0
tT(AGU)I1	chrIX	175028	175100	+	73	0	0	0
YIL101C	chrIX	175304	177247	-	1944	0	0	0
YIL100C-A	chrIX	177340	177678	-	339	0	0	0
YIL100W	chrIX	177370	177723	+	354	0	0	0
YIL099W	chrIX	178001	179650	+	1650	0	0	0
YIL098C	chrIX	179769	180236	-	468	0	0	0
YIL097W	chrIX	180424	181974	+	1551	0	0	0
YIL096C	chrIX	182114	183124	-	1011	0	0	0
tI(AAU)I1	chrIX	183437	183510	-	74	0	0	0
YIL095W	chrIX	183934	186366	+	2433	0	0	0
YIL094C	chrIX	186514	187629	-	1116	0	0	0
YIL093C	chrIX	187987	188781	-	795	0	0	0
YIL092W	chrIX	189063	190964	+	1902	0	0	0
YIL091C	chrIX	191027	193192	-	2166	0	0	0
YIL090W	chrIX	193592	195067	+	1476	0	0	0
YIL089W	chrIX	195596	196213	+	618	0	0	0
tE(CUC)I	chrIX	197589	197660	+	72	0	0	0
YIL088C	chrIX	197928	199400	-	1473	0	0	0
YIL087C	chrIX	199643	200116	-	474	0	0	0
YIL086C	chrIX	200150	200458	-	309	0	0	0
YIL085C	chrIX	200487	202040	-	1554	0	0	0
YIL084C	chrIX	202273	203256	-	984	0	0	0
YIL083C	chrIX	203553	204650	-	1098	0	0	0
YIL080W	chrIX;chrIX	205632;206483	206481;210354	+;+	4722	0	0	0
YIL082W-A	chrIX;chrIX	205632;206484	206482;210129	+;+	4497	0	0	0
YIL082W	chrIX	205632	206504	+	873	0	0	0
tI(AAU)I2	chrIX	210662	210735	+	74	0	0	0
YIL079C	chrIX	210920	212002	-	1083	0	0	0
YIL078W	chrIX	212496	214700	+	2205	0	0	0
YIL077C	chrIX	214988	215950	-	963	0	0	0
YIL076W	chrIX	216655	217545	+	891	0	0	0
YIL075C	chrIX	217860	220697	-	2838	0	0	0
YIL074C	chrIX	221078	222487	-	1410	0	0	0
YIL073C	chrIX;chrIX	222934;225897	225806;225951	-;-	2928	0	0	0
YIL072W	chrIX	226599	228416	+	1818	0	0	0
YIL071W-A	chrIX	228547	229023	+	477	0	0	0
YIL071C	chrIX	228657	229991	-	1335	0	0	0
YIL070C	chrIX	230269	231069	-	801	0	0	0
YIL069C	chrIX;chrIX	231550;232364	231954;232366	-;-	408	0	0	0
YIL068W-A	chrIX	233010	233393	+	384	0	0	0
YIL068C	chrIX	233054	235471	-	2418	0	0	0
YIL067C	chrIX	235721	237757	-	2037	0	0	0
YIL066W-A	chrIX	237363	237806	+	444	0	0	0
YIL066C	chrIX	238096	240705	-	2610	0	0	0
YIL065C	chrIX	241305	241772	-	468	0	0	0
YIL064W	chrIX	241940	242713	+	774	0	0	0
YIL063C	chrIX	242758	243741	-	984	0	0	0
YIL062C	chrIX	243995	244459	-	465	0	0	0
YIL061C	chrIX	244654	245556	-	903	0	0	0
YIL060W	chrIX	246389	246823	+	435	0	0	0
YIL059C	chrIX	246547	246912	-	366	0	0	0
YIL058W	chrIX	246911	247195	+	285	0	0	0
YIL057C	chrIX	247899	248393	-	495	0	0	0
tS(UGA)I	chrIX	248847	248928	+	82	0	0	0
YIL056W	chrIX	249989	251911	+	1923	0	0	0
YIL055C	chrIX	252040	253923	-	1884	0	0	0
YIL054W	chrIX	254541	254858	+	318	0	0	0
YIL053W	chrIX	255113	255865	+	753	0	0	0
YIL052C	chrIX;chrIX	256224;257025	256552;257061	-;-	366	0	0	0
YIL051C	chrIX	257842	258279	-	438	0	0	0
YIL050W	chrIX	258912	259769	+	858	0	0	0
YIL049W	chrIX	260157	260918	+	762	0	0	0
YIL048W	chrIX	261436	264891	+	3456	0	0	0
YIL047C-A	chrIX	265098	265466	-	369	0	0	0
YIL047C	chrIX	265114	267822	-	2709	0	0	0
YIL046W-A	chrIX	268308	268472	+	165	0	0	0
YIL046W	chrIX	268650	270572	+	1923	0	0	0
YIL045W	chrIX	271160	272776	+	1617	0	0	0
YIL044C	chrIX	272949	273845	-	897	0	0	0
YIL043C	chrIX	274071	274925	-	855	0	0	0
YIL042C	chrIX	275107	276291	-	1185	0	0	0
YIL041W	chrIX	276524	277504	+	981	0	0	0
YIL040W	chrIX	277722	278138	+	417	0	0	0
YIL039W	chrIX	278425	279846	+	1422	0	0	0
YIL038C	chrIX	280141	282651	-	2511	0	0	0
YIL037C	chrIX	283028	284998	-	1971	0	0	0
YIL036W	chrIX	285665	287428	+	1764	0	0	0
YIL035C	chrIX	287789	288907	-	1119	0	0	0
YIL034C	chrIX	289225	290088	-	864	0	0	0
YIL033C	chrIX	290418	291668	-	1251	0	0	0
YIL032C	chrIX	291960	292316	-	357	0	0	0
YIL031W	chrIX	292632	295736	+	3105	0	0	0
YIL030W-A	chrIX	295564	295902	+	339	0	0	0
YIL030C	chrIX	296049	300008	-	3960	0	0	0
YIL029W-A	chrIX	299734	300105	+	372	0	0	0
tK(CUU)I	chrIX	300227	300298	-	72	0	0	0
YIL029C	chrIX	300827	301255	-	429	0	0	0
YIL028W	chrIX	302098	302496	+	399	0	0	0
YIL027C	chrIX	303677	304102	-	426	0	0	0
YIL026C	chrIX	304475	307927	-	3453	0	0	0
YIL025C	chrIX	308199	308573	-	375	0	0	0
YIL024C	chrIX	308600	309169	-	570	0	0	0
YIL023C	chrIX	309384	310424	-	1041	0	0	0
YIL022W	chrIX	311163	312458	+	1296	0	0	0
YIL021W	chrIX	312903	313859	+	957	0	0	0
YIL021C-A	chrIX	313197	313466	-	270	0	0	0
YIL020C-A	chrIX	313711	314049	-	339	0	0	0
YIL020C	chrIX	314033	314818	-	786	0	0	0
YIL019W	chrIX	315091	316131	+	1041	0	0	0
YIL018W	chrIX;chrIX	316766;317170	316769;317930	+;+	765	0	0	0
YIL017C	chrIX	318198	320963	-	2766	0	0	0
YIL016W	chrIX	321452	321931	+	480	0	0	0
YIL015W	chrIX	322340	324103	+	1764	0	0	0
tD(GUC)I1	chrIX	324301	324372	-	72	0	0	0
YIL014C-A	chrIX	325210	325524	-	315	0	0	0
tT(AGU)I2	chrIX	325746	325818	+	73	0	0	0
YIL014W	chrIX	326101	327993	+	1893	0	0	0
YIL013C	chrIX	328205	332440	-	4236	0	0	0
YIL012W	chrIX	333009	333401	+	393	0	0	0
YIL011W	chrIX	333724	334533	+	810	0	0	0
YIL010W	chrIX	334879	335526	+	648	0	0	0
YIL009C-A	chrIX;chrIX	335663;335934	335932;336209	-;-	546	0	0	0
tD(GUC)I2	chrIX	336346	336417	-	72	0	0	0
YIL009W	chrIX	339341	341425	+	2085	0	0	0
YIL008W	chrIX	342533	342832	+	300	0	0	0
YIL007C	chrIX	342991	343653	-	663	0	0	0
YIL006W	chrIX	344059	345180	+	1122	0	0	0
YIL005W	chrIX	345689	347794	+	2106	0	0	0
YIL004C	chrIX;chrIX	347943;348492	348360;348502	-;-	429	0	0	0
YIL003W	chrIX	349119	350000	+	882	0	0	0
YIL002W-A	chrIX	350298	350507	+	210	0	0	0
YIL002C	chrIX	350588	353428	-	2841	0	0	0
YIL001W	chrIX	353937	355478	+	1542	0	0	0
YIR001C	chrIX	356140	356892	-	753	0	0	0
YIR002C	chrIX	357412	360393	-	2982	0	0	0
YIR003W	chrIX	360882	362921	+	2040	0	0	0
YIR004W	chrIX	363218	364516	+	1299	0	0	0
YIR005W	chrIX	364886	365332	+	447	0	0	0
YIR006C	chrIX	365463	369905	-	4443	0	0	0
tE(UUC)I	chrIX	370414	370485	+	72	0	0	0
YIR007W	chrIX	370701	372995	+	2295	0	0	0
YIR008C	chrIX	373074	374303	-	1230	0	0	0
YIR009W	chrIX	374522	374857	+	336	0	0	0
YIR010W	chrIX	375428	377158	+	1731	0	0	0
YIR011C	chrIX	377284	378243	-	960	0	0	0
YIR012W	chrIX	378483	379778	+	1296	0	0	0
YIR013C	chrIX	380016	380381	-	366	0	0	0
YIR014W	chrIX	381083	381811	+	729	0	0	0
YIR015W	chrIX	381945	382379	+	435	0	0	0
YIR016W	chrIX	382625	383422	+	798	0	0	0
YIR017C	chrIX	383553	384116	-	564	0	0	0
YIR017W-A	chrIX	383563	384162	+	600	0	0	0
YIR018W	chrIX	384606	385343	+	738	0	0	0
YIR018C-A	chrIX	385561	385698	-	138	0	0	0
YIR019C	chrIX	389569	393672	-	4104	0	0	0
ICR1	chrIX	393881	397079	-	3199	0	0	0
YIR020C	chrIX	394252	394554	-	303	0	0	0
YIR020W-A	chrIX	394914	395156	+	243	0	0	0
PWR1	chrIX	395996	396936	+	941	0	0	0
YIR020C-B	chrIX	397212	397946	-	735	0	0	0
YIR021W	chrIX	397291	398382	+	1092	0	0	0
YIR021W-A	chrIX	398511	398723	+	213	0	0	0
YIR022W	chrIX	398730	399233	+	504	0	0	0
YIR023W	chrIX	399774	402686	+	2913	0	0	0
YIR023C-A	chrIX	402380	402703	-	324	0	0	0
YIR024C	chrIX	402838	403488	-	651	0	0	0
YIR025W	chrIX	403656	404762	+	1107	0	0	0
YIR026C	chrIX	404870	405964	-	1095	0	0	0
YIR027C	chrIX	406257	407639	-	1383	0	0	0
YIR028W	chrIX	408465	410372	+	1908	0	0	0
YIR029W	chrIX	410804	411835	+	1032	0	0	0
YIR030C	chrIX	412033	412767	-	735	0	0	0
YIR030W-A	chrIX	412896	413279	+	384	0	0	0
YIR031C	chrIX	413012	414676	-	1665	0	0	0
YIR032C	chrIX	415027	415614	-	588	0	0	0
YIR033W	chrIX	416121	419462	+	3342	0	0	0
YIR034C	chrIX	419612	420733	-	1122	0	0	0
YIR035C	chrIX	421023	421787	-	765	0	0	0
YIR036C	chrIX	422071	422862	-	792	0	0	0
YIR036W-A	chrIX	422632	423033	+	402	0	0	0
YIR037W	chrIX	423125	423616	+	492	0	0	0
YIR038C	chrIX	423806	424510	-	705	0	0	0
YIR039C	chrIX	430494	432107	-	1614	0	0	0
YIR040C	chrIX	433385	433717	-	333	0	0	0
YIR041W	chrIX	433925	434299	+	375	0	0	0
YIR042C	chrIX	435270	435980	-	711	0	0	0
YIR043C	chrIX	437040	437732	-	693	0	0	0
YIR044C	chrIX	437991	438176	-	186	0	0	0
tP(UGG)Q	chrM	731	802	+	72	0	0	0
Q0010	chrM	3952	4338	+	387	0	0	0
Q0017	chrM	4254	4415	+	162	0	0	0
15S_rRNA	chrM	6546	8194	+	1649	0	0	0
tW(UCA)Q	chrM	9374	9447	+	74	0	0	0
Q0032	chrM	11667	11957	+	291	0	0	0
Q0060	chrM;chrM;chrM	13818;16435;18954	13986;16470;19996	+;+;+	1248	0	0	0
Q0045	chrM;chrM;chrM;chrM;chrM;chrM;chrM;chrM	13818;16435;18954;20508;21995;23612;25318;26229	13986;16470;18991;20984;22246;23746;25342;26701	+;+;+;+;+;+;+;+	1605	0	0	0
Q0070	chrM;chrM;chrM;chrM;chrM	13818;16435;18954;20508;21995	13986;16470;18991;20984;23167	+;+;+;+;+	1893	0	0	0
Q0055	chrM;chrM	13818;16435	13986;18830	+;+	2565	0	0	0
Q0065	chrM;chrM;chrM;chrM	13818;16435;18954;20508	13986;16470;18991;21935	+;+;+;+	1671	0	0	0
Q0050	chrM	13818	16322	+	2505	0	0	0
Q0075	chrM;chrM	24156;24906	24870;25255	+;+	1065	0	0	0
Q0080	chrM	27666	27812	+	147	0	0	0
Q0085	chrM	28487	29266	+	780	0	0	0
Q0092	chrM	30874	31014	+	141	0	0	0
tE(UUC)Q	chrM	35373	35444	+	72	0	0	0
Q0115	chrM;chrM;chrM	36540;37723;39141	36954;37736;40265	+;+;+	1554	0	0	0
Q0105	chrM;chrM;chrM;chrM;chrM;chrM	36540;37723;39141;40841;42508;43297	36954;37736;39217;41090;42558;43647	+;+;+;+;+;+	1158	0	0	0
Q0120	chrM;chrM;chrM;chrM	36540;37723;39141;40841	36954;37736;39217;42251	+;+;+;+	1917	0	0	0
Q0110	chrM;chrM	36540;37723	36954;38579	+;+	1272	0	0	0
Q0130	chrM	46723	46953	+	231	0	0	0
tS(UGA)Q2	chrM	48201	48290	+	90	0	0	0
Q0140	chrM	48901	50097	+	1197	0	0	0
Q0142	chrM	51052	51228	+	177	0	0	0
Q0143	chrM	51277	51429	+	153	0	0	0
Q0144	chrM	54109	54438	+	330	0	0	0
21S_rRNA	chrM;chrM	58009;61868	60724;62447	+;+	3296	0	0	0
Q0160	chrM	61022	61729	+	708	0	0	0
tT(UGU)Q1	chrM	63862	63937	+	76	0	0	0
tC(GCA)Q	chrM	64415	64490	+	76	0	0	0
tH(GUG)Q	chrM	64596	64670	+	75	0	0	0
Q0182	chrM	65770	66174	+	405	0	0	0
tL(UAA)Q	chrM	66095	66179	+	85	0	0	0
tQ(UUG)Q	chrM	66210	66285	+	76	0	0	0
tK(UUU)Q	chrM	67061	67134	+	74	0	0	0
tR(UCU)Q1	chrM	67309	67381	+	73	0	0	0
tG(UCC)Q	chrM	67468	67542	+	75	0	0	0
tD(GUC)Q	chrM	68322	68396	+	75	0	0	0
tS(GCU)Q1	chrM	69203	69288	+	86	0	0	0
tR(ACG)Q2	chrM	69289	69362	+	74	0	0	0
tA(UGC)Q	chrM	69846	69921	+	76	0	0	0
tI(GAU)Q	chrM	70162	70237	+	76	0	0	0
tY(GUA)Q	chrM	70824	70907	+	84	0	0	0
tN(GUU)Q	chrM	71433	71503	+	71	0	0	0
tM(CAU)Q1	chrM	72630	72705	+	76	0	0	0
Q0250	chrM	73758	74513	+	756	0	0	0
Q0255	chrM;chrM;chrM	74495;75663;75904	75622;75872;75984	+;+;+	1419	0	0	0
tF(GAA)Q	chrM	77431	77505	+	75	0	0	0
tT(XXX)Q2	chrM	78089	78162	-	74	0	0	0
tV(UAC)Q	chrM	78533	78608	+	76	0	0	0
Q0275	chrM	79213	80022	+	810	0	0	0
tM(CAU)Q2	chrM	85035	85112	+	78	0	0	0
RPM1	chrM	85295	85777	+	483	0	0	0
Q0297	chrM	85554	85709	+	156	0	0	0
YEL077C	chrV	264	4097	-	3834	0	0	0
YEL077W-A	chrV	630	1112	+	483	0	0	0
YEL076C-A	chrV;chrV	4185;4602	4322;5114	-;-	651	0	0	0
YEL076C	chrV	4464	5114	-	651	0	0	0
YEL075W-A	chrV	4870	5481	+	612	0	0	0
YEL075C	chrV	5345	5713	-	369	0	0	0
YEL074W	chrV	6126	6464	+	339	0	0	0
YEL073C	chrV	7230	7553	-	324	0	0	0
YEL072W	chrV	13720	14415	+	696	0	0	0
YEL071W	chrV	16355	17845	+	1491	0	0	0
YEL070W	chrV	19589	21097	+	1509	0	0	0
YEL069C	chrV	21537	23231	-	1695	0	0	0
YEL068C	chrV	25646	25978	-	333	0	0	0
YEL067C	chrV	26189	26776	-	588	0	0	0
YEL066W	chrV	26667	27206	+	540	0	0	0
YEL065W	chrV	27657	29543	+	1887	0	0	0
YEL064C	chrV	29797	31239	-	1443	0	0	0
YEL063C	chrV	31694	33466	-	1773	0	0	0
YEL062W	chrV	34407	36254	+	1848	0	0	0
YEL061C	chrV	36535	39537	-	3003	0	0	0
YEL060C	chrV	40046	41953	-	1908	0	0	0
YEL059C-A	chrV	42400	42624	-	225	0	0	0
YEL059W	chrV	42652	42960	+	309	0	0	0
YEL058W	chrV	43252	44925	+	1674	0	0	0
YEL057C	chrV	45020	45721	-	702	0	0	0
YEL056W	chrV	47168	48373	+	1206	0	0	0
YEL055C	chrV	48471	51539	-	3069	0	0	0
snR80	chrV	52150	52320	-	171	0	0	0
YEL054C	chrV	52721	53218	-	498	0	0	0
YEL053W-A	chrV	52908	53255	+	348	0	0	0
YEL053C	chrV	53901	56102	-	2202	0	0	0
YEL052W	chrV	56571	58100	+	1530	0	0	0
YEL051W	chrV	58378	59148	+	771	0	0	0
YEL050W-A	chrV	59549	59740	+	192	0	0	0
YEL050C	chrV	59670	60851	-	1182	0	0	0
snR67	chrV	61352	61433	+	82	0	0	0
snR53	chrV	61699	61789	+	91	0	0	0
tG(GCC)E	chrV	61890	61960	-	71	0	0	0
YEL049W	chrV	63728	64090	+	363	0	0	0
YEL048C	chrV	64709	65167	-	459	0	0	0
YEL047C	chrV	65385	66797	-	1413	0	0	0
YEL046C	chrV	67629	68792	-	1164	0	0	0
YEL045C	chrV	68840	69265	-	426	0	0	0
YEL044W	chrV	69757	70257	+	501	0	0	0
YEL043W	chrV	70478	73348	+	2871	0	0	0
YEL042W	chrV	73771	75327	+	1557	0	0	0
YEL041W	chrV	75944	77431	+	1488	0	0	0
YEL040W	chrV	78053	79456	+	1404	0	0	0
YEL039C	chrV	79636	79977	-	342	0	0	0
YEL038W	chrV	80462	81145	+	684	0	0	0
YEL037C	chrV	81407	82603	-	1197	0	0	0
YEL036C	chrV	83050	84552	-	1503	0	0	0
YEL035C	chrV	85045	85545	-	501	0	0	0
YEL034C-A	chrV	85613	86215	-	603	0	0	0
YEL034W	chrV	85676	86149	+	474	0	0	0
YEL033W	chrV	86179	86598	+	420	0	0	0
tS(AGA)E	chrV	86604	86685	+	82	0	0	0
YEL032W	chrV	86937	89852	+	2916	0	0	0
YEL032C-A	chrV	87040	87201	-	162	0	0	0
YEL031W	chrV	90258	93905	+	3648	0	0	0
YEL030C-A	chrV	94583	94897	-	315	0	0	0
YEL030W	chrV	94644	96578	+	1935	0	0	0
YEL029C	chrV	96858	97796	-	939	0	0	0
YEL028W	chrV	98668	99129	+	462	0	0	0
tM(CAU)E	chrV	100133	100204	+	72	0	0	0
YEL027W	chrV	100769	101251	+	483	0	0	0
YEL026W	chrV	101943	102323	+	381	0	0	0
YEL025C	chrV	102581	106147	-	3567	0	0	0
YEL024W	chrV	107260	107907	+	648	0	0	0
YEL023C	chrV	108504	110552	-	2049	0	0	0
YEL022W	chrV	111421	115800	+	4380	0	0	0
YEL021W	chrV	116167	116970	+	804	0	0	0
YEL020C-B	chrV	117183	117380	-	198	0	0	0
YEL020W-A	chrV	117211	117474	+	264	0	0	0
RPR1	chrV	117667	118035	-	369	0	0	0
YEL020C	chrV	118617	120299	-	1683	0	0	0
YEL019C	chrV	120498	121301	-	804	0	0	0
YEL018C-A	chrV	121455	121988	-	534	0	0	0
YEL018W	chrV	121471	122310	+	840	0	0	0
YEL017C-A	chrV	122798	122929	-	132	0	0	0
YEL017W	chrV	123657	124670	+	1014	0	0	0
YEL016C	chrV	124737	126218	-	1482	0	0	0
YEL015W	chrV	126629	128284	+	1656	0	0	0
YEL014C	chrV	128303	128608	-	306	0	0	0
YEL013W	chrV	128825	130561	+	1737	0	0	0
tQ(UUG)E2	chrV	131082	131153	-	72	0	0	0
YEL012W	chrV;chrV	131772;131900	131776;132551	+;+	657	0	0	0
YEL011W	chrV	133120	135234	+	2115	0	0	0
tK(CUU)E1	chrV	135425	135497	-	73	0	0	0
YEL010W	chrV	136279	136629	+	351	0	0	0
YEL009C-A	chrV	136371	136778	-	408	0	0	0
tR(UCU)E	chrV	138666	138737	+	72	0	0	0
YEL009C	chrV	138918	139763	-	846	0	0	0
YEL008W	chrV	140512	140892	+	381	0	0	0
YEL008C-A	chrV	140726	140818	-	93	0	0	0
YEL007W	chrV	141891	143891	+	2001	0	0	0
YEL006W	chrV	144326	145333	+	1008	0	0	0
YEL005C	chrV	145906	146754	-	849	0	0	0
YEL004W	chrV	146950	147978	+	1029	0	0	0
YEL003W	chrV;chrV	148175;148282	148193;148598	+;+	336	0	0	0
YEL002C	chrV	148721	150013	-	1293	0	0	0
YEL001C	chrV	150300	150977	-	678	0	0	0
YER001W	chrV	153519	155807	+	2289	0	0	0
YER002W	chrV	156802	157497	+	696	0	0	0
YER003C	chrV;chrV	157735;159087	158993;159117	-;-	1290	0	0	0
YER004W	chrV	159579	160274	+	696	0	0	0
YER005W	chrV	160549	162441	+	1893	0	0	0
YER006W	chrV	162722	164284	+	1563	0	0	0
YER006C-A	chrV	164343	164660	-	318	0	0	0
YER007W	chrV	164526	166082	+	1557	0	0	0
YER007C-A	chrV;chrV	166236;166874	166770;166884	-;-	546	0	0	0
snR14	chrV	167426	167585	-	160	0	0	0
YER008C	chrV	167807	171817	-	4011	0	0	0
YER009W	chrV	172114	172491	+	378	0	0	0
YER010C	chrV	172633	173337	-	705	0	0	0
YER011W	chrV	175247	176011	+	765	0	0	0
tE(UUC)E1	chrV	177098	177169	+	72	0	0	0
YER012W	chrV	177834	178430	+	597	0	0	0
YER013W	chrV	178840	182277	+	3438	0	0	0
YER014W	chrV	182599	184218	+	1620	0	0	0
YER014C-A	chrV;chrV	183730;184677	184168;184699	-;-	462	0	0	0
YER015W	chrV	184540	186774	+	2235	0	0	0
YER016W	chrV	188276	189310	+	1035	0	0	0
YER017C	chrV	189502	191787	-	2286	0	0	0
YER018C	chrV	191958	192623	-	666	0	0	0
YER019W	chrV	192796	194229	+	1434	0	0	0
YER019C-A	chrV	194272	194538	-	267	0	0	0
YER020W	chrV	195167	196516	+	1350	0	0	0
YER021W	chrV	196947	198518	+	1572	0	0	0
YER022W	chrV	198811	200874	+	2064	0	0	0
YER023W	chrV	201075	201935	+	861	0	0	0
YER023C-A	chrV	201521	201733	-	213	0	0	0
YER024W	chrV	202191	204962	+	2772	0	0	0
YER025W	chrV	205250	206833	+	1584	0	0	0
tH(GUG)E1	chrV	207356	207427	+	72	0	0	0
YER026C	chrV	207643	208473	-	831	0	0	0
YER027C	chrV	208978	210231	-	1254	0	0	0
YER028C	chrV	210691	211875	-	1185	0	0	0
YER029C	chrV	212586	213176	-	591	0	0	0
YER030W	chrV	213436	213897	+	462	0	0	0
YER031C	chrV	214075	214746	-	672	0	0	0
YER032W	chrV	215062	217692	+	2631	0	0	0
YER033C	chrV	218056	221286	-	3231	0	0	0
YER034W	chrV	221845	222402	+	558	0	0	0
YER035W	chrV	222638	223075	+	438	0	0	0
YER036C	chrV	223366	225198	-	1833	0	0	0
YER037W	chrV	225888	226853	+	966	0	0	0
YER038C	chrV	226857	228251	-	1395	0	0	0
YER038W-A	chrV	228450	228830	+	381	0	0	0
YER039C	chrV	228455	229204	-	750	0	0	0
YER039C-A	chrV	229262	229480	-	219	0	0	0
YER040W	chrV	229794	231986	+	2193	0	0	0
YER041W	chrV	232460	234739	+	2280	0	0	0
YER042W	chrV	234936	235490	+	555	0	0	0
YER043C	chrV	235769	237118	-	1350	0	0	0
YER044C	chrV	237569	238015	-	447	0	0	0
YER044C-A	chrV;chrV	238459;239711	239622;239773	-;-	1227	0	0	0
YER045C	chrV	240031	241500	-	1470	0	0	0
YER046W	chrV	243179	243610	+	432	0	0	0
YER046W-A	chrV	243699	244028	+	330	0	0	0
YER047C	chrV	243809	246502	-	2694	0	0	0
YER048C	chrV	246981	248156	-	1176	0	0	0
tQ(UUG)E1	chrV	250285	250356	+	72	0	0	0
YER048W-A	chrV	250717	251001	+	285	0	0	0
YER049W	chrV	251727	253661	+	1935	0	0	0
YER050C	chrV	253970	254386	-	417	0	0	0
YER051W	chrV	254655	256133	+	1479	0	0	0
YER052C	chrV	256374	257957	-	1584	0	0	0
YER053C	chrV	258736	259638	-	903	0	0	0
YER053C-A	chrV	260932	261045	-	114	0	0	0
YER054C	chrV	262051	263697	-	1647	0	0	0
YER055C	chrV	264891	265784	-	894	0	0	0
YER056C	chrV	266511	268112	-	1602	0	0	0
YER056C-A	chrV;chrV	269421;270147	269749;270183	-;-	366	0	0	0
YER057C	chrV	270735	271124	-	390	0	0	0
YER058W	chrV	271766	272089	+	324	0	0	0
YER059W	chrV	272622	273884	+	1263	0	0	0
YER060W	chrV	274565	276151	+	1587	0	0	0
YER060W-A	chrV	276570	278162	+	1593	0	0	0
YER061C	chrV	278296	279624	-	1329	0	0	0
YER062C	chrV	279928	280680	-	753	0	0	0
YER063W	chrV	281708	282364	+	657	0	0	0
YER064C	chrV	282703	284220	-	1518	0	0	0
YER065C	chrV	285239	286912	-	1674	0	0	0
tS(UGA)E	chrV	288441	288522	-	82	0	0	0
YER066W	chrV	290240	290797	+	558	0	0	0
YER066C-A	chrV	291701	292201	-	501	0	0	0
YER067W	chrV	292064	292549	+	486	0	0	0
YER067C-A	chrV	292238	292561	-	324	0	0	0
YER068W	chrV	293048	294811	+	1764	0	0	0
YER068C-A	chrV	295299	295730	-	432	0	0	0
YER069W	chrV	295408	297999	+	2592	0	0	0
YER070W	chrV	298948	301614	+	2667	0	0	0
